@relation InstanceResultListener

@attribute Key_Dataset {mushroom_train}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-C 0.25 -M 1'}
@attribute Key_Scheme_version_ID {-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 107\nSize of the tree: 136\n','Number of leaves: 142\nSize of the tree: 174\n','Number of leaves: 130\nSize of the tree: 165\n','Number of leaves: 117\nSize of the tree: 148\n','Number of leaves: 148\nSize of the tree: 186\n','Number of leaves: 141\nSize of the tree: 179\n','Number of leaves: 90\nSize of the tree: 118\n','Number of leaves: 168\nSize of the tree: 207\n','Number of leaves: 109\nSize of the tree: 139\n','Number of leaves: 181\nSize of the tree: 221\n','Number of leaves: 162\nSize of the tree: 199\n','Number of leaves: 128\nSize of the tree: 163\n','Number of leaves: 149\nSize of the tree: 183\n','Number of leaves: 87\nSize of the tree: 112\n','Number of leaves: 121\nSize of the tree: 150\n','Number of leaves: 111\nSize of the tree: 139\n','Number of leaves: 182\nSize of the tree: 220\n','Number of leaves: 115\nSize of the tree: 144\n','Number of leaves: 163\nSize of the tree: 199\n','Number of leaves: 122\nSize of the tree: 154\n','Number of leaves: 82\nSize of the tree: 107\n','Number of leaves: 65\nSize of the tree: 86\n','Number of leaves: 54\nSize of the tree: 74\n','Number of leaves: 126\nSize of the tree: 158\n','Number of leaves: 107\nSize of the tree: 135\n','Number of leaves: 86\nSize of the tree: 111\n','Number of leaves: 108\nSize of the tree: 136\n','Number of leaves: 146\nSize of the tree: 180\n','Number of leaves: 109\nSize of the tree: 135\n','Number of leaves: 135\nSize of the tree: 171\n','Number of leaves: 141\nSize of the tree: 176\n','Number of leaves: 180\nSize of the tree: 222\n','Number of leaves: 166\nSize of the tree: 204\n','Number of leaves: 146\nSize of the tree: 183\n','Number of leaves: 98\nSize of the tree: 127\n','Number of leaves: 142\nSize of the tree: 180\n','Number of leaves: 172\nSize of the tree: 214\n','Number of leaves: 142\nSize of the tree: 178\n','Number of leaves: 85\nSize of the tree: 113\n','Number of leaves: 165\nSize of the tree: 204\n','Number of leaves: 70\nSize of the tree: 93\n','Number of leaves: 73\nSize of the tree: 98\n','Number of leaves: 156\nSize of the tree: 191\n','Number of leaves: 68\nSize of the tree: 90\n','Number of leaves: 106\nSize of the tree: 132\n','Number of leaves: 149\nSize of the tree: 187\n','Number of leaves: 83\nSize of the tree: 108\n','Number of leaves: 65\nSize of the tree: 87\n','Number of leaves: 107\nSize of the tree: 134\n','Number of leaves: 151\nSize of the tree: 186\n','Number of leaves: 128\nSize of the tree: 160\n','Number of leaves: 171\nSize of the tree: 211\n','Number of leaves: 194\nSize of the tree: 238\n','Number of leaves: 64\nSize of the tree: 85\n','Number of leaves: 142\nSize of the tree: 177\n','Number of leaves: 78\nSize of the tree: 100\n','Number of leaves: 167\nSize of the tree: 204\n','Number of leaves: 126\nSize of the tree: 161\n','Number of leaves: 140\nSize of the tree: 173\n','Number of leaves: 173\nSize of the tree: 211\n','Number of leaves: 193\nSize of the tree: 234\n','Number of leaves: 99\nSize of the tree: 127\n','Number of leaves: 174\nSize of the tree: 215\n','Number of leaves: 117\nSize of the tree: 149\n','Number of leaves: 136\nSize of the tree: 169\n','Number of leaves: 100\nSize of the tree: 130\n','Number of leaves: 89\nSize of the tree: 115\n','Number of leaves: 142\nSize of the tree: 176\n','Number of leaves: 135\nSize of the tree: 166\n','Number of leaves: 143\nSize of the tree: 179\n','Number of leaves: 114\nSize of the tree: 146\n','Number of leaves: 67\nSize of the tree: 88\n','Number of leaves: 116\nSize of the tree: 148\n','Number of leaves: 102\nSize of the tree: 133\n','Number of leaves: 130\nSize of the tree: 161\n','Number of leaves: 169\nSize of the tree: 208\n','Number of leaves: 158\nSize of the tree: 192\n','Number of leaves: 81\nSize of the tree: 106\n','Number of leaves: 80\nSize of the tree: 105\n','Number of leaves: 104\nSize of the tree: 134\n','Number of leaves: 150\nSize of the tree: 187\n','Number of leaves: 173\nSize of the tree: 209\n','Number of leaves: 156\nSize of the tree: 194\n','Number of leaves: 127\nSize of the tree: 160\n','Number of leaves: 98\nSize of the tree: 126\n','Number of leaves: 98\nSize of the tree: 129\n','Number of leaves: 61\nSize of the tree: 80\n','Number of leaves: 140\nSize of the tree: 177\n','Number of leaves: 144\nSize of the tree: 178\n','Number of leaves: 183\nSize of the tree: 224\n','Number of leaves: 66\nSize of the tree: 89\n','Number of leaves: 146\nSize of the tree: 181\n','Number of leaves: 91\nSize of the tree: 116\n','Number of leaves: 93\nSize of the tree: 117\n','Number of leaves: 159\nSize of the tree: 200\n','Number of leaves: 87\nSize of the tree: 113\n','Number of leaves: 157\nSize of the tree: 195\n','Number of leaves: 124\nSize of the tree: 159\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

mushroom_train,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20171007.1744,6300,700,440,260,0,62.857143,37.142857,0,0.504775,0.082745,0.205748,45.359957,68.150561,1560.291524,3750.65313,-2190.361606,2.228988,5.358076,-3.129088,1036.567796,1.480811,46339.252136,0,0,0,0,1,700,0,0,0,0,0,0,?,?,0.628571,0.090136,0.909864,0.371429,0.66093,0.628571,0.636965,0.53683,0.927444,0.759034,0.578977,0.628571,0.198,0.011,0.2,0.01,200,10,48997,1347417,154617,99.571429,23.928571,'Number of leaves: 107\nSize of the tree: 136\n',136,107,107
mushroom_train,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20171007.1744,6300,700,423,277,0,60.428571,39.571429,0,0.47135,0.089853,0.214838,49.237314,71.131337,1562.657974,5950.810665,-4388.152691,2.232369,8.501158,-6.26879,987.956937,1.411367,44173.541393,0,0,0,0,1,700,0,0,0,0,0,0,?,?,0.604286,0.101017,0.898983,0.395714,0.643508,0.604286,0.616643,0.506688,0.912984,0.724822,0.561486,0.604286,0.12,0.005,0.12,0.01,120,10,60857,1347417,154617,99.285714,26.089286,'Number of leaves: 142\nSize of the tree: 174\n',174,142,142
mushroom_train,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20171007.1744,6300,700,445,255,0,63.571429,36.428571,0,0.507945,0.086634,0.211899,47.473438,70.158223,1562.657974,4871.138244,-3308.48027,2.232369,6.958769,-4.7264,994.321662,1.42046,44458.121033,0,0,0,0,1,700,0,0,0,0,0,0,?,?,0.635714,0.100451,0.899549,0.364286,0.642638,0.635714,0.634801,0.529816,0.921383,0.736881,0.580138,0.635714,0.107,0.003,0.11,0,110,0,57959,1347417,154617,99.428571,25.964286,'Number of leaves: 130\nSize of the tree: 165\n',165,130,130
mushroom_train,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20171007.1744,6300,700,445,255,0,63.571429,36.428571,0,0.511996,0.082807,0.204832,45.376473,67.818144,1562.657974,1608.466131,-45.808157,2.232369,2.297809,-0.06544,1039.619579,1.485171,46483.481997,0,0,0,0,1,700,0,0,0,0,0,0,?,?,0.635714,0.088413,0.911587,0.364286,0.670461,0.635714,0.645055,0.548805,0.930853,0.758521,0.557449,0.635714,0.135,0.002,0.12,0,120,0,52717,1347417,154617,99.857143,23.982143,'Number of leaves: 117\nSize of the tree: 148\n',148,117,117
mushroom_train,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20171007.1744,6300,700,438,262,0,62.571429,37.428571,0,0.488545,0.082792,0.205882,45.368353,68.165803,1562.657974,2678.009921,-1115.351947,2.232369,3.825728,-1.59336,1038.591868,1.483703,46437.530986,0,0,0,0,1,700,0,0,0,0,0,0,?,?,0.625714,0.106859,0.893141,0.374286,0.635144,0.625714,0.626171,0.519606,0.928547,0.757973,0.542351,0.625714,0.118,0.002,0.12,0,120,0,64481,1347417,154617,99.714286,23.678571,'Number of leaves: 148\nSize of the tree: 186\n',186,148,148
mushroom_train,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20171007.1744,6300,700,431,269,0,61.571429,38.428571,0,0.484422,0.084147,0.207305,46.107478,68.631795,1563.910451,2686.146842,-1122.236391,2.234158,3.837353,-1.603195,1034.924536,1.478464,46277.655686,0,0,0,0,1,700,0,0,0,0,0,0,?,?,0.615714,0.105308,0.894692,0.384286,0.650682,0.615714,0.624627,0.515339,0.918504,0.746137,0.564969,0.615714,0.095,0.002,0.09,0,90,0,62283,1347417,154617,99.714286,23.839286,'Number of leaves: 141\nSize of the tree: 179\n',179,141,141
mushroom_train,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20171007.1744,6300,700,423,277,0,60.428571,39.571429,0,0.479374,0.088787,0.213058,48.649991,70.536711,1563.910451,587.763639,976.146812,2.234158,0.839662,1.394495,992.019837,1.417171,44359.130414,0,0,0,0,1,700,0,0,0,0,0,0,?,?,0.604286,0.085355,0.914645,0.395714,0.679421,0.604286,0.627546,0.531671,0.914775,0.723061,0.566619,0.604286,0.1,0.003,0.1,0,100,0,43369,1347417,154617,100,25.678571,'Number of leaves: 90\nSize of the tree: 118\n',118,90,90
mushroom_train,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20171007.1744,6300,700,434,266,0,62,38,0,0.467309,0.084927,0.209446,46.536053,69.342705,1563.306949,4852.121098,-3288.814149,2.233296,6.931602,-4.698306,1010.236629,1.443195,45171.781518,0,0,0,0,1,700,0,0,0,0,0,0,?,?,0.62,0.13427,0.86573,0.38,0.584864,0.62,0.596461,0.479146,0.9223,0.737957,0.494822,0.62,0.116,0.002,0.1,0,100,0,71051,1347417,154617,99.428571,25.732143,'Number of leaves: 168\nSize of the tree: 207\n',207,168,168
mushroom_train,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20171007.1744,6300,700,440,260,0,62.857143,37.142857,0,0.474515,0.085377,0.2086,46.783746,69.064201,1562.991848,2703.941582,-1140.949734,2.232845,3.862774,-1.629928,1017.461129,1.453516,45493.801183,0,0,0,0,1,700,0,0,0,0,0,0,?,?,0.628571,0.148697,0.851303,0.371429,0.613041,0.628571,0.595899,0.486115,0.924853,0.739949,0.516975,0.628571,0.096,0.002,0.1,0,100,0,49915,1347417,154617,99.714286,25.625,'Number of leaves: 109\nSize of the tree: 139\n',139,109,109
mushroom_train,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20171007.1744,6300,700,430,270,0,61.428571,38.571429,0,0.46498,0.083273,0.20573,45.627931,68.108723,1570.871989,1606.375934,-35.503946,2.244103,2.294823,-0.05072,1037.154208,1.481649,46398.954298,0,0,0,0,1,699,1,1,0,0,0,0,0.5,0.001429,0.614286,0.14108,0.85892,0.385714,0.595032,0.614286,0.593505,0.473215,0.922116,0.748731,0.496299,0.614286,0.097,0.002,0.1,0,100,0,75423,1347417,154617,99.857143,23.607143,'Number of leaves: 181\nSize of the tree: 221\n',221,181,181
mushroom_train,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20171007.1744,6300,700,447,253,0,63.857143,36.142857,0,0.491213,0.086023,0.209545,47.155907,69.406585,1560.606625,2719.622127,-1159.015503,2.229438,3.885174,-1.655736,1005.224232,1.436035,44939.057996,0,0,0,0,1,700,0,0,0,0,0,0,?,?,0.638571,0.135009,0.864991,0.361429,0.621405,0.638571,0.612745,0.503019,0.926346,0.741659,0.546641,0.638571,0.095,0.002,0.09,0.01,90,10,68587,1347417,154617,99.571429,25.803571,'Number of leaves: 162\nSize of the tree: 199\n',199,162,162
